PRODUCT_ID,LOCATION_ID,ONHAND
moto_1,wh1-moto-montreal,1000
moto_2,wh1-moto-montreal,1000
moto_3,wh1-moto-montreal,1000
moto_4,wh1-moto-montreal,1000
moto_5,wh1-moto-montreal,1000
moto_6,wh1-moto-montreal,1000
moto_7,wh1-moto-montreal,1000
moto_8,wh1-moto-montreal,1000
moto_9,wh1-moto-montreal,1000
moto_10,wh1-moto-montreal,1000
moto_11,fs1-moto-montreal,1000
moto_12,fs1-moto-montreal,1000
moto_13,fs1-moto-montreal,1000
moto_14,fs1-moto-montreal,1000
moto_15,fs1-moto-montreal,1000
moto_16,fs1-moto-montreal,1000
moto_17,fs1-moto-montreal,1000
moto_18,fs1-moto-montreal,1000
moto_19,fs1-moto-montreal,1000
